AVL,RB,B ONE,B FIVE,B TEN
1962,25,64,49,42
1924,24,70,46,44
1910,19,61,45,48
1866,23,70,47,44
1930,25,68,54,42
2013,25,73,43,48
1941,24,60,49,44
1959,25,69,52,49
1969,24,61,46,44
1945,24,61,42,42
2057,24,62,48,43
1974,23,64,45,58
1981,23,75,52,50
2017,23,65,43,46
1992,28,72,61,53
1929,22,65,47,50
2071,25,67,44,52
2020,23,70,50,49
2079,23,61,49,49
1955,27,62,47,48
2039,23,70,59,50
2079,25,65,45,54
2018,23,67,47,45
2035,25,69,46,55
1974,26,76,48,49
2131,25,65,52,52
2046,27,87,46,47
2021,22,64,47,52
2101,24,69,47,52
2151,25,64,49,49
2080,25,67,48,54
2152,22,63,46,54
1946,29,65,47,47
2035,25,71,46,52
2086,25,76,51,48
2071,22,75,44,49
2134,31,68,55,55
2242,22,66,45,48
2172,26,84,45,48
2195,25,72,47,51
2138,23,64,49,52
2110,26,67,50,48
2229,23,80,45,48
2113,25,81,45,48
2202,25,68,48,47
2172,23,62,48,49
2118,27,70,59,51
2173,25,64,50,60
2148,26,65,49,51
2259,23,74,46,56
2158,26,64,44,58
2167,26,60,47,50
2321,31,86,50,49
2193,26,66,48,45
2266,25,72,52,49
2304,24,68,51,52
2204,26,70,46,56
2294,24,62,46,52
2279,24,66,47,51
2357,24,73,48,48
2220,24,72,53,51
2365,25,74,51,52
2190,26,67,54,54
2379,24,70,47,50
2308,25,63,53,54
2236,25,79,47,55
2396,25,82,46,51
2276,27,75,45,49
2336,28,62,49,48
2214,28,67,46,50
2328,23,65,45,58
2384,25,64,50,51
2391,26,72,48,52
2300,26,62,45,54
2302,24,63,52,51
2419,24,66,47,51
2306,25,80,45,52
2451,26,66,53,58
2332,26,60,49,49
2477,27,72,45,47
2439,26,68,51,48
2469,23,70,44,52
2470,26,69,52,49
2389,25,67,49,49
2359,22,61,47,52
2431,24,70,45,52
2434,25,64,50,49
2492,23,70,50,53
2420,28,68,54,50
2463,23,64,46,47
2561,25,73,52,50
2475,23,70,53,51
2534,24,68,50,48
2601,30,71,46,52
2429,24,63,44,52
2489,23,65,49,51
2536,26,67,48,47
2342,23,76,53,54
2427,23,68,45,47
2463,26,73,46,50
2496,28,71,47,50
2683,24,71,49,49
2592,25,68,54,47
2553,24,74,53,57
2723,23,64,47,48
2413,26,68,50,48
2630,25,70,45,50
2458,28,75,50,57
2662,23,63,47,54
2487,25,76,46,55
2626,26,67,46,51
2617,28,66,49,50
2664,30,68,49,57
2638,24,62,49,49
2486,24,70,56,50
2488,28,64,48,54
2583,23,61,49,50
2583,23,84,53,56
2589,26,73,48,56
2608,26,79,48,48
2631,25,81,48,49
2606,27,66,48,48
2743,28,75,44,50
2766,24,66,55,48
2590,24,71,47,50
2732,25,71,46,53
2702,23,74,45,50
2611,25,65,51,49
2647,30,71,52,50
2776,25,71,50,50
2857,26,65,46,49
2759,28,65,48,55
2758,24,62,53,53
2732,26,69,47,49
2770,25,76,48,52
2548,25,69,48,51
2773,29,66,45,49
2872,23,77,48,49
2678,32,77,49,57
2648,26,63,51,53
2854,26,73,48,52
2794,22,70,48,50
3011,26,75,48,49
2714,28,76,49,52
2809,26,65,49,55
2750,26,71,44,49
2731,27,70,50,49
2859,29,78,46,55
2831,28,63,55,49
2919,28,72,49,50
2966,26,65,46,49
2950,24,70,45,56
2885,25,66,52,53
2842,25,71,46,56
2935,25,64,49,48
2763,30,69,57,54
2890,25,71,53,51
2890,30,65,48,54
2976,26,71,48,49
2792,26,76,44,51
2949,27,78,46,55
3047,25,69,51,56
2971,24,66,47,50
2816,27,69,49,55
2880,29,69,50,54
3030,24,58,52,48
2883,25,77,46,50
2975,28,63,47,53
3017,24,74,48,55
3115,26,63,45,53
2998,28,67,51,49
2716,25,70,48,51
2878,22,71,49,50
2870,24,81,52,57
3203,22,68,51,56
3091,25,69,45,49
3121,28,66,46,49
2854,25,75,50,49
2999,25,62,49,55
3113,25,63,53,49
3007,26,63,46,49
3035,25,64,54,49
2960,24,63,46,48
3063,23,73,47,55
3026,28,71,51,51
2949,27,65,51,52
3194,25,69,49,51
3016,25,72,48,50
3140,22,70,52,58
3045,26,68,51,54
3026,25,69,48,50
3059,27,61,51,50
3069,26,75,48,48
3258,27,72,62,52
3037,31,73,51,51
3087,24,72,48,51
3117,24,62,53,51
3125,27,66,50,55
3212,24,62,58,53
3212,26,68,49,61
3228,25,64,47,49
3159,26,79,50,51
3149,25,71,46,52
3214,28,71,54,50
3054,25,61,49,52
3021,24,71,47,49
3078,26,87,54,52
2991,26,69,56,54
3398,24,70,53,53
3132,23,64,50,59
3123,28,78,47,52
3289,22,71,49,57
3197,28,77,50,54
3113,27,76,49,50
3238,25,64,50,49
3274,25,76,52,54
3162,23,67,48,50
3386,27,75,48,55
3382,24,69,51,51
3260,26,69,54,50
3256,27,72,49,49
3372,27,79,47,56
3224,25,71,48,53
3288,24,72,52,56
3409,24,69,48,53
3351,24,78,48,53
3256,27,75,47,58
3401,25,73,48,50
3325,23,68,52,50
3423,25,67,50,49
3391,27,72,47,52
3405,25,75,49,53
3283,27,66,53,53
3337,25,77,50,53
3390,27,63,46,50
3381,27,71,45,57
3401,26,82,58,55
3342,28,72,50,49
3476,24,64,49,55
3477,28,68,47,49
3620,26,73,53,51
3486,24,76,57,51
3395,29,69,49,59
3269,30,68,52,53
3540,29,72,46,50
3411,26,69,55,48
3484,26,77,51,55
3532,28,78,49,56
3378,27,76,46,57
3504,29,74,60,50
3504,26,65,46,51
3568,26,78,49,50
3639,24,68,49,51
3415,27,81,56,56
3651,28,71,52,50
3568,24,66,50,47
3613,26,62,55,54
3435,26,72,53,51
3519,29,70,47,59
3417,25,70,50,50
3433,27,63,55,56
3539,25,66,50,58
3392,26,79,49,52
3761,26,80,50,56
3610,28,77,52,57
3472,24,75,46,50
3567,26,75,51,53
3564,27,70,48,49
3546,28,67,54,51
3447,25,75,47,53
3574,27,71,51,50
3743,30,72,47,61
3436,28,62,48,49
3583,27,76,51,59
3495,25,73,47,57
3577,26,81,50,48
3784,22,71,49,50
3643,26,74,53,57
3602,30,75,58,55
3773,21,68,49,47
3684,27,70,49,50
3766,25,70,48,51
3795,27,73,49,49
3657,24,74,54,49
3614,29,84,54,52
3714,25,77,50,51
3828,25,73,53,50
3554,25,69,56,51
3833,26,70,49,62
3582,26,79,50,50
3693,29,76,49,51
3756,25,66,53,54
3826,25,71,49,55
3713,27,71,46,64
3692,26,73,53,51
3907,24,65,56,58
3625,26,75,51,50
3986,30,72,51,53
3777,27,68,59,61
3726,26,77,46,50
3944,29,67,52,54
3707,23,67,53,54
3748,23,71,50,55
3849,28,80,46,50
3805,26,71,47,51
3629,26,79,52,54
3550,25,73,48,53
3760,24,81,52,55
3834,26,73,52,56
3964,24,73,49,55
3661,26,71,51,51
3961,27,73,49,57
4000,26,65,57,50
3571,25,78,52,52
3700,27,80,47,60
3869,30,81,51,49
3993,27,66,47,47
4020,26,72,52,58
3838,26,71,49,50
3916,24,76,53,51
3980,27,74,47,50
3899,28,70,52,51
3667,27,73,47,49
3987,27,73,47,57
3731,27,82,48,50
3865,28,75,49,55
4076,27,68,49,63
3964,26,66,52,52
3841,25,68,52,50
3964,25,68,50,58
4218,24,78,44,50
4072,24,70,52,55
4033,27,65,54,56
4006,27,70,56,55
3824,25,83,54,53
3985,26,75,51,50
4097,27,66,51,50
3983,28,76,47,50
4219,26,67,58,64
3908,25,99,59,56
4008,25,78,48,48
3894,25,76,52,49
3988,29,72,50,50
3976,27,74,56,54
3891,25,73,53,48
4044,29,69,52,56
4004,27,69,49,57
3890,25,79,51,52
4175,26,76,54,53
4169,29,71,51,55
4154,32,80,52,52
3902,27,75,48,57
4127,29,69,50,52
4028,29,72,50,52
4037,26,87,52,50
4178,26,83,51,51
4133,27,81,47,54
4128,26,80,48,58
4187,25,68,56,50
4167,29,67,56,53
4444,26,70,49,49
4189,27,73,51,50
4137,25,81,53,56
4243,27,68,47,53
4143,29,86,48,53
3985,26,70,58,52
