AVL,RB,B ONE,B FIVE,B TEN
8184,29,77,64,53
8088,29,83,58,53
7770,31,89,56,52
7911,29,89,54,55
8166,25,77,61,52
8123,26,73,59,63
8597,29,91,54,55
7780,27,79,58,57
8216,28,81,56,55
7577,27,79,52,53
7768,29,83,59,55
8239,31,71,61,56
7951,25,82,55,53
7800,32,77,62,52
7718,27,86,55,53
7885,28,79,54,63
7765,27,87,60,55
7875,29,76,59,53
7935,30,79,64,55
8115,29,74,54,53
8022,26,80,56,58
8414,29,79,54,56
7902,27,73,56,57
8189,29,78,56,52
7999,28,85,62,54
8274,30,75,55,57
7926,29,81,61,61
8122,29,76,62,55
7958,27,75,60,62
8159,32,77,57,57
8318,26,73,56,59
8001,27,85,55,55
8049,26,75,53,56
7868,30,83,57,52
7907,30,92,56,70
7897,29,73,56,57
8299,32,77,64,59
8234,31,89,56,52
8159,29,75,58,66
8417,30,79,58,54
8087,29,80,61,54
8289,29,76,65,57
8368,32,77,55,56
8373,27,93,52,50
8051,27,87,58,53
8224,29,78,61,61
7966,29,79,55,55
8418,30,84,59,53
8242,28,82,63,59
8387,30,84,57,55
8514,27,87,58,62
8063,30,76,54,55
8309,27,73,58,53
8203,30,75,53,51
8359,28,82,56,55
8683,30,85,60,57
8405,31,77,61,55
7997,27,78,55,51
8628,32,76,59,55
8157,30,77,61,56
8461,25,85,59,54
8370,31,77,55,55
8074,27,86,56,55
8541,28,71,58,52
8546,29,86,55,63
7774,26,70,51,53
8201,27,74,59,61
8630,29,86,53,52
8048,29,95,58,56
8324,30,78,57,53
8114,27,82,59,59
8154,28,71,52,52
8132,27,83,56,55
8725,29,77,56,51
8540,32,85,54,59
8508,32,78,55,54
8635,29,81,57,57
8478,30,74,58,53
8406,31,75,58,53
8360,29,77,55,54
8074,30,79,52,55
8208,30,71,52,55
8409,31,75,54,52
8252,30,86,56,61
8415,26,80,60,53
8512,28,72,53,58
8491,24,88,58,62
8431,26,72,56,53
8920,28,80,58,59
8908,28,81,58,51
8315,32,79,60,54
8416,26,72,57,56
8334,30,98,55,56
8360,30,86,64,56
8810,27,81,57,55
8290,31,90,60,62
8556,27,81,62,55
8724,27,82,56,51
8675,28,76,58,62
8539,31,78,55,57
8046,30,81,64,56
8361,32,80,54,58
8647,28,78,61,53
8352,29,87,59,55
8566,31,80,55,57
8341,26,78,57,57
8383,32,89,55,56
8979,29,79,61,57
8438,31,72,57,54
8620,29,84,62,53
8647,31,73,53,54
8911,28,99,59,59
8740,29,83,60,55
9040,28,86,55,60
8641,29,75,57,54
8476,29,82,54,69
9212,27,80,58,52
8874,30,85,56,67
8737,27,95,58,74
8282,28,87,59,56
8649,26,80,62,65
8723,30,77,56,59
8664,31,87,61,57
8601,29,80,61,63
8664,32,82,59,54
8554,29,77,55,58
8520,32,99,62,52
8750,27,75,56,57
8813,30,90,58,54
9162,25,76,59,60
8372,27,75,59,53
8852,30,88,56,55
9139,29,76,55,58
8825,27,75,55,54
8668,26,77,55,52
8657,29,90,58,57
8470,31,81,58,56
8616,30,79,60,54
8694,30,80,54,52
8835,28,80,68,52
8415,28,83,54,67
8778,28,85,57,53
8528,29,80,56,67
8838,29,80,56,56
8735,30,96,54,53
8817,28,92,57,53
8907,28,79,60,54
9071,27,74,58,53
8870,31,79,62,56
9071,31,86,58,62
8635,29,83,64,56
8779,26,75,61,53
9156,26,83,56,50
8925,27,88,57,57
8547,31,87,58,60
9094,30,83,64,55
9003,28,77,55,57
9175,31,78,56,53
9010,34,78,57,59
8695,26,84,61,54
8856,30,82,66,58
9021,26,84,53,56
9592,30,78,59,51
9316,32,84,56,53
8863,29,83,59,58
8773,32,74,66,55
8702,29,71,56,53
8721,30,77,55,57
8620,27,86,57,56
8981,29,83,59,57
9044,30,91,59,56
8831,27,89,54,57
9023,28,84,58,60
8694,26,80,60,63
9264,31,77,68,55
8988,32,100,68,58
9242,31,87,59,53
8997,32,84,56,58
8970,35,79,64,58
8772,28,83,55,55
9049,31,84,64,58
8944,32,80,54,60
9280,26,79,66,52
8962,33,85,56,55
9117,29,81,62,58
8606,31,77,60,58
9083,29,79,55,52
8814,28,72,55,54
9431,31,76,56,55
9113,30,79,56,59
8691,30,88,57,53
9417,28,77,62,56
8912,29,80,58,53
9012,28,86,56,53
8939,29,82,69,56
9003,28,73,55,54
8734,29,80,59,57
8876,28,74,56,59
9553,29,78,57,58
9338,26,78,62,56
9124,31,89,55,58
9437,28,78,58,56
9308,28,80,60,53
9278,29,83,60,54
8622,34,84,54,56
9105,29,77,64,53
9272,27,78,58,55
9287,27,90,59,60
9487,30,77,60,52
9340,30,80,58,56
9875,29,88,53,58
9077,30,85,55,56
9394,28,81,59,58
9263,30,73,61,58
9397,28,76,73,58
9387,27,79,55,52
9481,29,91,56,53
9577,31,78,62,60
9611,31,82,63,56
8993,28,79,54,56
9362,29,80,55,54
9061,27,78,53,55
9311,31,73,56,55
9459,28,82,53,55
9559,29,80,57,54
8992,29,79,53,55
9622,28,78,60,52
9408,29,78,59,56
9728,28,75,57,56
9164,27,86,58,55
8677,28,77,58,54
9186,28,78,55,56
9490,29,75,59,60
9527,27,84,57,52
9465,30,84,53,62
9360,31,83,61,57
9189,26,79,61,56
9544,28,82,53,57
9381,30,86,55,57
9835,30,81,57,64
10040,27,85,62,61
8985,29,95,55,61
9645,29,79,62,54
9442,31,82,66,54
9125,31,80,58,54
9479,30,78,55,55
9065,28,83,56,53
8842,31,79,58,53
9220,31,88,55,56
9277,33,80,63,63
9479,27,75,60,56
9772,30,89,57,56
9425,33,85,60,54
9330,28,78,58,53
9091,29,81,56,54
9547,30,73,55,60
9257,29,88,59,53
9381,32,86,61,59
9654,31,80,60,55
9749,28,78,58,55
9319,28,76,54,61
9729,30,81,62,57
9509,29,77,59,56
9337,30,74,62,56
9506,27,82,54,54
9164,29,74,54,55
9817,33,87,57,55
9519,31,85,55,63
9744,30,83,59,54
10091,27,76,63,59
9394,27,73,56,54
9271,28,77,54,55
9173,29,75,67,52
9662,29,73,60,57
9968,28,73,62,59
9615,31,81,56,58
9914,27,80,56,55
9670,29,81,65,53
9583,33,76,54,56
9675,28,83,61,55
9910,25,92,54,55
9974,31,85,57,61
9600,27,80,58,56
9565,28,81,55,61
10021,27,81,65,54
9939,30,87,60,59
9810,27,74,54,59
9639,30,94,67,51
9820,27,77,59,54
9040,28,79,57,59
9365,27,86,53,59
10173,29,80,55,57
9696,29,78,51,49
9181,27,83,59,59
9469,28,76,56,58
9898,29,83,60,51
10246,26,78,63,55
9894,29,74,55,59
9330,27,87,58,59
9376,30,81,55,56
9854,30,85,63,55
9750,29,90,54,55
9502,28,78,63,57
9746,29,91,56,57
9989,28,82,57,57
9543,27,92,60,55
10100,32,88,57,54
10057,26,72,75,65
9918,28,81,55,54
9789,29,83,58,57
9924,29,83,57,54
9842,31,73,54,53
10031,28,71,57,61
9697,27,82,64,59
9980,29,87,61,54
10166,32,91,55,55
9508,28,82,53,56
9630,30,108,60,58
9807,28,90,56,63
9841,32,85,53,51
9766,29,83,54,53
10316,31,82,55,58
10026,30,84,61,58
9992,30,96,60,60
10580,31,80,61,56
9931,30,70,53,56
10331,30,83,54,54
10063,31,79,54,54
9911,31,91,60,58
10067,31,87,55,57
10101,28,78,57,55
9655,30,82,57,62
10105,30,89,60,56
9955,27,74,71,59
9661,29,79,61,55
9867,30,83,60,54
10154,28,79,59,55
10171,29,94,55,59
10014,32,78,58,54
9771,31,81,59,53
10100,25,76,60,57
10214,27,85,58,55
10297,28,88,61,65
10797,30,85,56,54
10007,34,84,57,57
10508,26,73,55,55
10107,31,82,60,58
10152,28,80,58,58
10450,27,81,55,58
10173,30,78,59,57
9676,27,86,61,56
9890,28,84,59,52
9952,26,77,60,56
10137,29,80,54,61
10058,34,79,58,56
10263,31,78,56,55
9553,31,81,59,56
10512,30,92,65,59
10292,29,84,66,57
10836,30,79,55,62
10432,31,86,57,68
9663,30,80,58,54
10266,32,79,54,63
9701,31,84,55,59
10329,27,89,64,58
10200,31,84,59,51
9972,29,80,58,62
10920,29,88,59,53
10745,31,94,58,55
10138,33,75,58,58
10671,31,86,60,61
10631,33,93,59,62
10025,30,86,58,55
10290,30,74,61,54
10413,32,97,58,56
9905,28,73,57,55
10176,28,83,57,59
10387,33,84,58,53
9889,29,79,59,60
10308,27,81,58,57
10049,30,83,59,55
10328,32,80,59,52
10397,29,78,62,56
10643,31,83,57,52
9779,28,87,61,57
10525,32,96,54,57
10130,31,92,61,55
10462,29,82,58,55
9887,32,88,65,61
11038,28,81,61,59
10512,28,79,59,56
10289,31,91,57,59
10020,28,81,60,55
10745,30,84,60,53
10461,31,76,54,54
10326,29,80,56,63
10428,31,78,55,61
10480,28,86,56,53
10661,28,86,59,56
10026,30,81,58,62
10277,29,86,69,59
10928,26,79,63,54
10126,28,83,57,54
10381,29,84,56,55
9982,30,81,62,57
10654,28,75,55,52
10406,34,87,58,57
10261,32,86,60,61
11153,30,82,56,62
10872,30,81,63,56
10803,30,82,59,59
10094,29,74,61,56
10484,29,86,62,56
10208,27,83,56,56
10767,30,89,58,55
10814,28,87,57,60
9986,30,92,61,56
10480,29,77,61,62
10538,27,76,55,57
10883,33,89,54,54
11012,34,76,58,62
10707,28,76,62,57
10260,31,85,59,53
10674,25,88,56,54
10593,30,73,54,53
10368,31,77,55,59
10337,32,82,63,65
10696,31,79,57,59
10855,29,78,58,59
10684,30,85,60,56
10584,30,95,55,55
9995,30,87,58,61
10497,29,83,57,54
10267,30,88,59,61
10496,25,78,56,57
10524,34,78,56,55
10787,31,88,56,60
10692,30,80,60,59
10774,33,76,61,53
11208,30,87,59,57
9561,25,84,55,60
10439,29,84,61,55
10981,27,82,63,62
10877,31,89,58,56
11103,33,91,56,54
10096,31,91,57,55
10569,27,85,56,57
11037,32,76,53,53
10971,28,81,58,56
10612,35,84,62,54
10404,29,80,55,56
10509,33,97,59,56
10885,30,80,57,55
10425,29,83,65,55
10745,27,80,62,58
11243,29,77,62,56
10699,35,90,62,66
10568,30,89,56,56
10507,30,83,61,55
11249,28,79,58,55
10645,29,76,56,61
10556,28,86,60,58
10058,34,81,61,58
10820,32,90,62,57
10600,29,86,56,52
10919,28,90,59,61
10276,29,78,57,56
10208,30,80,60,55
10493,29,74,60,59
10233,29,92,66,57
10781,26,82,59,58
10717,31,87,57,54
11678,31,88,57,55
10651,31,86,62,64
11092,29,93,56,58
11067,31,79,62,54
11209,31,85,57,52
10580,27,78,64,55
10952,29,79,55,61
11397,32,85,54,54
11334,30,84,62,70
10167,28,86,60,53
11041,29,85,55,59
10791,29,83,59,65
10965,29,79,56,56
11527,30,89,60,61
10531,31,80,55,63
10851,28,84,61,56
11217,30,81,58,54
11113,31,102,58,59
10661,30,88,59,58
11060,32,79,55,53
10331,29,88,62,55
10764,30,86,58,62
10618,31,84,58,57
10921,30,74,58,58
10781,33,88,58,59
11303,24,85,59,60
11516,29,83,55,57
11855,29,79,54,59
11523,30,79,63,56
11006,31,89,58,58
11282,30,81,55,57
10853,31,82,56,58
10953,30,84,56,53
11170,29,82,56,55
10999,27,84,53,58
10856,27,79,56,54
10792,29,82,62,66
11176,28,79,56,58
10509,28,80,55,55
10614,30,87,62,54
11191,30,82,63,54
11086,30,83,59,57
11363,27,84,61,60
11422,31,87,61,56
11130,34,81,63,55
11096,30,86,59,54
11356,32,84,60,56
11532,29,84,59,55
11059,29,78,55,56
11495,29,82,61,56
11352,27,80,58,54
10896,27,80,59,52
11416,31,83,58,56
12070,30,82,56,58
11661,31,101,60,59
10785,28,84,65,61
10805,30,83,59,56
11525,30,85,56,57
11709,29,84,56,53
11628,27,90,61,65
11485,26,85,55,52
10584,28,85,58,57
11534,32,78,55,59
11516,29,85,56,55
11623,30,85,58,58
11049,29,88,57,53
11288,27,80,57,63
11340,29,83,64,54
11495,31,80,56,53
10886,28,84,56,63
11131,28,82,61,64
11091,27,82,56,53
10950,31,81,58,57
11367,29,87,60,58
11267,31,83,57,55
11121,29,79,63,63
11374,28,80,54,62
11485,31,79,59,60
11622,29,90,56,66
11106,30,86,60,62
11035,29,78,55,55
11188,27,79,54,62
11169,27,77,54,57
11812,33,83,56,58
10959,30,76,62,54
11583,30,86,64,56
11699,28,82,58,64
11358,31,84,55,59
11698,32,82,58,56
10862,31,77,60,60
11631,30,81,56,55
11430,30,80,54,55
10757,29,86,65,55
10701,32,88,57,62
11478,28,78,60,55
11008,29,73,57,60
11870,30,83,56,60
11515,27,85,63,57
10993,30,85,58,54
11824,28,77,59,55
12031,30,82,56,60
10897,32,95,58,53
11792,30,98,61,60
12005,28,84,55,55
11522,32,81,58,52
11964,32,80,62,55
10972,28,80,56,59
10881,31,75,59,59
11587,29,88,62,64
12089,29,74,62,53
11974,30,77,60,55
11581,28,78,64,54
12104,30,85,55,54
11720,28,76,60,58
11712,29,88,58,54
11187,29,78,57,55
11662,27,72,57,60
11343,27,78,57,54
11072,28,94,56,64
11821,30,88,64,60
11635,26,80,56,64
11517,27,76,59,58
11642,30,84,59,56
11694,30,89,55,54
11801,30,85,62,53
11488,31,87,56,61
11338,29,84,58,63
11447,33,84,63,54
11683,31,79,58,61
11548,31,79,56,55
11241,32,79,62,57
11607,31,85,56,62
11743,31,81,58,54
12123,30,82,58,56
12274,32,88,56,58
11843,29,79,59,58
11506,30,92,57,59
11113,28,87,59,52
11918,31,78,63,55
11895,30,92,60,56
12260,33,81,62,67
11916,30,80,58,59
11329,31,82,61,55
12087,30,83,64,57
12110,30,74,56,56
11859,28,87,56,56
11933,28,75,61,57
11963,29,78,55,53
11087,31,86,58,59
11560,33,76,56,59
12147,30,77,61,58
11835,29,93,59,61
11523,30,75,58,58
11716,29,79,58,56
11949,34,92,64,55
12547,31,78,55,53
12299,31,91,56,59
11821,30,80,64,55
12187,30,83,58,58
11542,30,79,54,54
11938,30,86,63,60
11307,29,79,55,53
11298,29,77,58,53
11354,28,84,59,60
11526,29,94,56,58
12045,30,91,54,54
11928,30,82,56,68
11782,29,79,59,54
11929,29,78,57,54
11291,28,80,63,58
11452,27,73,60,61
11914,27,89,59,61
11413,28,85,55,57
10627,33,84,63,56
12022,33,80,57,55
12090,30,88,60,59
11685,31,79,61,57
12277,28,73,65,55
12087,31,92,56,59
12180,31,87,62,55
11798,29,76,57,56
11772,28,92,56,56
12438,32,86,57,56
12243,33,77,54,58
12035,28,84,62,57
11937,30,80,63,65
11323,34,75,62,54
12049,28,78,55,56
12202,31,86,58,63
12016,29,89,59,56
11570,29,81,68,57
12455,33,86,59,59
12128,30,78,59,54
11574,33,79,55,56
12021,27,84,58,56
11637,31,82,67,61
12992,34,81,58,57
12593,29,75,55,59
13058,27,92,56,54
12074,30,81,58,53
12137,30,91,63,52
11986,30,74,60,54
12055,30,78,60,56
11675,31,84,57,60
12384,34,78,58,56
11555,29,75,59,60
12416,29,82,60,60
12096,28,89,59,56
11878,31,83,55,52
11909,27,82,62,54
11927,32,91,63,56
12619,30,78,59,54
12020,30,82,66,55
12329,29,85,59,58
11903,32,87,58,53
12606,28,82,68,62
12515,29,81,56,63
11819,28,75,59,59
12837,28,86,55,58
11943,31,78,68,57
12419,30,88,56,55
11835,30,85,61,62
12199,31,82,63,55
12680,30,87,60,55
12067,31,88,64,54
12327,31,98,58,55
12622,32,82,60,58
12643,32,86,62,57
12359,29,82,57,53
12826,32,92,55,55
11908,32,79,62,60
12609,28,82,56,54
12647,31,80,61,60
11325,29,83,59,63
12382,30,87,61,59
11866,31,80,66,57
12743,29,75,67,63
12220,29,94,66,59
11848,31,76,59,57
12297,29,86,56,55
12031,29,82,58,56
12105,29,80,57,52
12957,30,85,58,55
12379,30,79,58,54
12376,31,97,55,64
13010,29,82,67,62
12363,29,86,58,64
12540,31,81,65,65
12794,32,90,57,64
11963,27,74,65,67
12356,27,80,56,55
12526,28,92,60,60
12630,32,94,56,55
12504,29,85,59,55
12568,29,87,64,56
12119,32,79,57,54
12778,30,80,61,60
12693,28,89,59,59
11493,29,92,58,55
12211,28,81,60,56
12401,27,83,60,58
12202,30,91,59,60
12329,29,87,57,56
12369,32,79,62,53
11992,28,87,63,60
12052,30,81,57,55
12580,29,78,58,59
12634,28,78,61,58
12312,31,84,63,58
12470,31,87,60,53
12961,33,81,54,55
11868,27,86,58,59
12240,30,87,58,59
12482,27,75,65,64
12898,30,81,63,53
12858,30,83,54,55
13062,33,88,55,55
12317,32,87,56,65
12246,30,85,59,60
12237,31,86,59,56
12603,34,91,57,61
12643,30,87,59,58
12737,33,84,55,57
12540,30,87,59,55
12573,28,76,56,52
12541,29,77,66,63
12688,28,77,58,65
11871,27,86,67,54
11800,29,91,59,60
12917,30,85,62,56
12688,29,90,60,60
12673,30,85,57,59
12665,30,90,58,54
12215,30,78,58,55
12141,31,83,70,55
12256,33,90,62,63
12509,26,80,59,56
13117,30,80,58,55
12623,31,82,61,55
12720,30,82,55,54
13024,29,75,58,53
12507,35,82,54,52
12944,31,78,55,54
13125,28,81,66,57
12809,31,78,61,61
12680,30,76,54,65
12512,29,83,62,66
12661,35,88,59,54
13731,27,83,60,61
13222,28,82,60,57
13245,33,89,58,54
13223,31,77,57,60
12837,32,90,64,63
12592,34,78,60,74
12694,30,78,59,56
12297,28,78,60,57
13279,33,82,62,56
13160,28,82,54,56
12887,30,90,54,55
12754,31,81,58,59
13040,33,80,64,60
12926,28,78,62,56
12979,34,81,60,54
12971,27,84,56,55
12068,31,79,57,55
12995,28,85,56,54
12758,31,78,62,57
13270,31,75,57,56
12248,29,80,61,58
13436,32,92,62,55
13396,30,77,67,54
12953,30,92,57,56
13015,34,84,55,57
12578,33,84,57,54
12757,32,82,60,66
12541,31,82,57,57
13417,30,81,61,55
13235,33,83,60,58
12673,30,79,60,65
13385,30,86,56,57
12882,31,81,58,60
13213,35,80,61,55
12941,31,76,58,52
12711,28,82,54,60
13629,31,85,65,53
13484,33,83,59,56
13272,31,74,59,54
13147,36,89,58,58
13312,30,82,60,64
13375,29,79,58,57
12438,27,90,59,56
13340,30,78,58,55
12562,31,86,65,60
13077,31,95,57,55
13233,30,80,66,63
12713,30,74,69,54
12586,29,78,62,56
12317,27,84,57,55
13458,27,88,59,54
13023,31,84,60,54
12931,31,83,58,59
13116,29,80,57,56
12895,26,81,55,54
12561,27,90,63,62
13439,29,86,57,57
13338,29,78,57,57
13895,32,83,57,55
12596,30,92,56,65
12953,30,79,56,51
12926,29,81,53,56
12401,29,78,56,56
13307,31,84,56,59
13349,31,90,57,56
13440,31,73,55,56
13227,30,84,58,57
13124,31,83,59,59
12670,32,80,59,65
13216,29,79,61,62
13153,28,81,60,57
12903,29,76,61,55
13248,31,88,56,61
12837,30,81,58,55
12536,29,88,57,62
13071,28,85,55,58
13684,31,86,57,58
13681,33,77,57,56
13255,29,76,62,59
12644,29,82,57,61
12762,31,87,58,67
13137,32,96,56,53
12765,30,103,59,59
13412,31,83,58,65
13013,34,81,55,56
13413,29,83,55,56
13054,33,75,60,61
13210,30,86,55,53
13367,29,81,62,57
12943,31,82,55,56
13163,30,81,60,56
13653,31,85,69,56
13368,32,82,57,56
13510,28,74,55,54
13301,30,82,62,62
13599,33,79,60,56
13296,30,93,62,53
14146,30,84,61,54
13377,30,93,63,61
13270,31,76,63,54
13517,29,79,60,61
13428,31,82,65,52
12861,30,82,61,64
13210,29,75,61,63
13521,29,77,59,55
13260,29,87,55,57
13361,29,84,58,62
12893,31,88,63,56
12734,32,83,60,57
12918,31,88,57,55
13497,29,85,62,58
13168,31,89,61,60
13276,28,87,54,58
13884,32,80,60,53
13627,28,81,57,58
13763,31,79,60,59
13060,31,80,57,54
13451,32,93,63,59
12550,33,87,55,55
13780,26,80,61,59
13308,32,79,65,56
13865,29,82,56,54
13371,32,80,57,53
13843,28,83,62,54
13058,31,91,59,65
13132,28,80,64,59
13766,30,79,64,56
13351,30,80,66,56
13476,30,89,57,68
13618,31,78,63,59
14525,29,82,62,57
13028,28,95,56,59
14008,32,80,62,57
13303,31,94,58,56
13364,28,82,56,61
13050,30,77,65,53
14122,32,97,60,57
13135,28,83,57,62
14080,28,74,56,64
13014,32,87,58,56
13716,29,79,65,55
13713,35,84,60,59
12968,32,77,59,54
14405,30,86,62,57
14075,33,88,56,55
13590,29,86,57,56
13327,29,88,57,61
13974,32,90,64,57
14031,30,84,56,56
13839,32,85,58,54
13662,31,82,61,58
14157,31,90,62,53
13554,31,79,60,60
13679,29,90,63,60
13549,32,77,56,65
13050,32,88,61,56
13938,31,84,56,62
14070,27,82,61,53
13853,33,81,62,60
14224,31,77,59,61
13821,29,84,56,58
13921,27,87,61,65
13700,32,78,63,54
13523,30,79,57,67
13802,32,81,59,59
13919,32,90,60,62
13780,29,87,61,64
14548,32,83,65,57
13393,30,83,63,60
13368,31,90,61,57
13553,30,79,63,56
13464,30,84,64,65
13009,28,80,58,70
13950,30,82,64,62
13517,30,86,62,54
13721,29,78,57,61
13849,30,76,64,61
13635,30,83,58,60
14197,31,86,55,64
13814,31,81,57,57
14292,31,83,58,57
13249,30,86,59,57
13074,28,82,56,58
14228,27,83,60,60
13742,29,79,62,56
13282,27,88,57,62
13647,30,85,63,60
13670,33,84,57,58
14097,27,82,58,56
13329,29,86,56,60
14188,31,79,57,59
13332,26,87,56,59
13802,30,87,57,63
13273,30,78,56,59
13857,32,93,57,54
14265,29,83,55,53
13099,31,77,61,58
13707,31,75,55,53
13918,30,82,56,56
13629,30,89,58,56
14193,30,87,58,60
14157,33,92,59,57
13197,29,75,61,56
13709,29,83,63,57
14127,31,102,57,55
14034,32,89,59,59
13726,30,92,58,65
13883,30,82,57,56
13660,30,80,60,63
14368,31,77,58,67
14203,32,84,64,58
14298,29,79,58,58
13714,29,81,57,55
13604,28,79,62,60
14237,32,87,62,61
14304,28,79,60,58
14362,31,90,62,55
12630,30,81,64,64
15173,31,79,65,58
14475,33,81,64,63
14381,30,87,63,58
14020,31,82,67,56
14279,29,79,63,61
13458,30,95,61,57
14719,30,87,56,60
14875,30,79,58,63
14245,29,78,56,58
14648,29,81,56,54
13814,30,84,63,60
14283,29,78,63,58
14645,30,80,59,58
13713,31,78,61,57
14529,32,82,61,65
13935,28,78,59,75
14560,26,80,59,55
14297,32,87,57,64
13247,32,88,57,54
14286,31,76,61,58
14379,30,90,58,52
14685,31,93,58,59
13502,31,84,56,61
14853,29,112,58,63
14172,31,96,63,56
13887,30,96,74,58
13927,30,80,60,58
14851,28,86,64,58
13695,30,84,54,56
13499,31,86,65,56
14499,30,87,61,59
14103,30,88,62,54
13829,30,88,58,58
14752,31,83,63,59
14542,31,81,60,55
14355,29,88,58,57
14336,30,75,59,59
13606,29,84,67,60
13646,31,80,64,60
14498,28,91,58,56
13987,31,83,61,56
13887,30,83,61,56
13674,30,88,58,57
14232,29,97,62,58
14876,30,77,59,55
13928,30,79,66,61
14741,34,88,59,54
13707,31,85,61,63
13662,30,96,57,57
14137,33,81,61,64
14069,27,84,59,55
13785,31,82,60,64
14247,29,89,58,61
13986,29,78,58,56
15138,29,77,56,58
14459,31,85,67,58
14271,30,85,58,59
14585,30,80,58,62
14961,32,92,60,68
13978,28,89,55,58
14511,30,80,61,58
14919,28,80,59,58
12916,32,78,60,64
13798,29,83,66,56
14544,27,80,59,55
14564,32,80,62,61
15076,31,84,62,61
14904,30,80,55,60
14580,35,87,56,59
14350,31,83,66,61
14192,32,91,63,57
13744,34,84,57,64
15306,27,80,58,54
14457,28,82,57,57
14069,31,80,61,56
14606,33,86,59,57
14872,30,80,58,54
13686,29,85,55,65
14461,29,75,61,58
14933,30,82,66,55
15539,34,86,60,72
14550,32,89,58,60
15166,30,80,57,62
13818,27,83,60,56
14717,32,75,61,62
14159,31,86,61,58
14985,33,86,56,58
15187,34,86,64,57
14898,33,82,62,61
15005,32,85,63,61
14635,30,83,67,55
15567,32,89,58,53
15027,30,76,56,57
14338,30,86,65,52
14032,31,79,56,62
14883,33,91,67,55
14605,31,87,58,57
14418,31,80,59,54
14326,27,87,64,57
14486,30,78,57,59
14956,29,82,60,53
15161,34,79,57,56
15322,30,82,56,52
14913,31,85,59,61
14664,31,95,54,58
15340,30,75,58,52
14432,32,77,59,62
14601,30,84,68,59
14885,32,86,59,64
14641,29,91,63,58
14889,30,86,67,63
14817,31,79,61,54
14311,31,83,60,58
14972,31,84,57,63
14329,29,77,65,60
14972,31,81,57,55
15926,31,86,55,54
15107,28,78,57,54
14528,28,92,68,65
14462,30,73,60,57
14438,31,88,60,59
15072,35,82,55,56
14522,29,84,62,53
14839,35,85,56,66
14874,28,78,58,67
15426,30,87,63,55
15463,32,92,57,59
14221,30,94,58,57
13941,30,87,61,57
14427,31,84,62,57
14990,34,82,66,56
15065,31,89,58,60
14961,33,85,62,57
15014,29,86,61,59
13957,30,76,57,59
14548,31,84,61,57
15380,30,79,61,57
14866,34,83,73,69
15153,27,76,59,57
14539,32,93,59,63
15248,32,82,54,63
15558,31,88,60,58
14723,27,88,61,56
16252,30,85,64,53
14195,30,78,57,63
14339,28,80,58,58
14894,30,82,63,55
16244,31,83,58,56
14456,31,82,59,62
15645,27,78,57,55
15652,26,80,58,57
14725,31,81,60,57
14624,29,92,61,64
15342,30,79,56,60
14992,29,81,55,65
15300,33,82,62,57
15688,30,95,67,56
14859,34,84,57,54
15284,29,86,60,60
15438,32,81,62,58
15095,30,82,63,55
14973,28,81,56,65
15640,29,82,58,56
15157,28,81,57,57
15595,29,78,60,58
15549,30,84,58,52
14517,30,93,61,55
14902,31,82,57,58
15465,31,79,60,56
15562,29,85,68,55
15099,27,80,58,57
15484,30,79,57,56
14830,31,86,56,63
14594,29,84,60,58
16142,33,82,58,64
15278,32,80,60,55
14586,30,84,61,65
15854,33,84,58,56
14730,32,86,59,60
14805,32,77,64,58
15200,31,88,58,56
14822,32,83,67,64
14470,33,88,58,62
15567,31,91,65,57
14640,33,84,57,56
14430,29,79,58,58
14721,30,80,62,56
15491,28,75,57,56
15676,29,85,59,55
16104,32,101,56,54
15666,29,80,57,56
14978,31,77,60,59
14947,31,85,58,65
15051,29,85,63,64
15357,31,78,62,56
15584,28,85,56,61
15855,30,80,62,65
15755,29,86,56,57
15123,33,85,63,60
15407,33,87,61,60
15305,35,91,56,57
15163,30,86,64,56
15381,33,80,60,53
15817,32,90,71,57
15419,34,86,66,66
15810,30,79,57,59
15576,30,82,57,58
14638,31,87,57,61
15273,31,75,61,54
16089,31,83,57,60
15362,33,81,66,65
15210,29,77,65,62
15059,30,79,57,64
15691,30,82,63,56
15464,28,82,56,62
15280,33,85,59,55
15265,28,76,55,54
16013,30,91,55,67
16510,33,78,57,56
15759,31,81,60,57
15380,29,83,60,61
16384,31,74,60,57
15931,31,87,61,60
15214,31,77,56,59
15562,29,78,60,62
16257,28,86,61,57
15851,29,86,60,53
15303,31,87,58,59
15767,29,93,57,55
15834,31,92,63,61
15788,28,86,63,57
15494,31,83,63,62
14829,31,86,64,61
15357,28,84,58,65
14909,29,78,58,56
15747,31,90,61,55
15989,29,86,58,55
15481,30,77,55,54
14586,34,83,65,60
15087,28,92,57,58
15139,33,80,66,56
14585,33,92,57,59
15487,30,83,62,61
16130,29,81,59,57
16663,31,95,65,67
15796,31,81,56,60
15329,33,86,61,54
14709,28,80,60,61
15665,30,79,60,54
15759,32,85,57,61
15479,30,97,60,62
16237,28,82,57,61
15299,31,89,63,66
15780,31,81,61,66
14810,29,93,59,58
15885,27,82,55,66
15188,28,94,59,71
15930,28,83,59,61
15770,32,79,56,52
16471,31,85,62,61
15577,30,91,69,67
16068,32,90,61,57
15547,30,79,58,75
16238,33,89,69,58
16607,31,78,56,56
15750,32,93,59,68
15418,33,96,58,59
15943,28,94,56,56
15448,34,81,64,64
15904,32,88,56,58
15647,30,85,67,60
16204,33,89,63,57
